packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 65.0      , Fx: 0.03      ,Fy: 0.0       , Fz: 0.01      , Mx: -0.0141   ,My: -0.0212   ,Mz: -0.0092   ,
Counter: 66.0      , Fx: 0.03      ,Fy: 0.03      , Fz: -0.1      , Mx: 0.0071    ,My: 0.0071    ,Mz: 0.0       ,
Counter: 67.0      , Fx: 0.02      ,Fy: -0.04     , Fz: -0.24     , Mx: -0.0071   ,My: -0.0282   ,Mz: 0.0185    ,
Counter: 68.0      , Fx: 0.06      ,Fy: -0.0      , Fz: -0.08     , Mx: 0.0141    ,My: -0.0071   ,Mz: -0.0277   ,
Counter: 69.0      , Fx: 0.0       ,Fy: -0.04     , Fz: 0.12      , Mx: -0.0141   ,My: 0.0141    ,Mz: 0.0462    ,
Counter: 70.0      , Fx: 0.01      ,Fy: -0.0      , Fz: -0.12     , Mx: 0.0       ,My: 0.0       ,Mz: 0.0185    ,
Counter: 71.0      , Fx: 0.01      ,Fy: 0.01      , Fz: -0.14     , Mx: -0.0353   ,My: -0.0282   ,Mz: 0.0185    ,
Counter: 72.0      , Fx: -0.02     ,Fy: -0.08     , Fz: 0.33      , Mx: 0.0071    ,My: 0.0141    ,Mz: -0.0462   ,
Counter: 73.0      , Fx: -0.0      ,Fy: -0.01     , Fz: 0.12      , Mx: -0.0212   ,My: -0.0141   ,Mz: -0.0092   ,
Counter: 74.0      , Fx: 0.01      ,Fy: 0.0       , Fz: 0.14      , Mx: 0.0071    ,My: -0.0141   ,Mz: 0.0185    ,
Counter: 75.0      , Fx: 0.04      ,Fy: 0.05      , Fz: -0.1      , Mx: 0.0       ,My: -0.0141   ,Mz: -0.0554   ,
Counter: 76.0      , Fx: -0.01     ,Fy: 0.0       , Fz: 0.09      , Mx: 0.0       ,My: -0.0282   ,Mz: -0.0554   ,
Counter: 77.0      , Fx: -0.01     ,Fy: -0.03     , Fz: 0.05      , Mx: 0.0141    ,My: 0.0071    ,Mz: -0.0092   ,
Counter: 78.0      , Fx: 0.01      ,Fy: 0.03      , Fz: -0.08     , Mx: 0.0       ,My: 0.0       ,Mz: -0.0185   ,
Counter: 79.0      , Fx: -0.05     ,Fy: 0.03      , Fz: 0.0       , Mx: 0.0       ,My: -0.0212   ,Mz: -0.037    ,
Counter: 80.0      , Fx: -0.02     ,Fy: -0.05     , Fz: 0.25      , Mx: -0.0071   ,My: -0.0424   ,Mz: -0.0092   ,
Counter: 81.0      , Fx: -0.04     ,Fy: 0.01      , Fz: 0.12      , Mx: -0.0283   ,My: 0.0212    ,Mz: 0.0277    ,
Counter: 82.0      , Fx: 0.05      ,Fy: -0.04     , Fz: -0.24     , Mx: 0.0212    ,My: -0.0071   ,Mz: -0.0092   ,
Counter: 83.0      , Fx: 0.05      ,Fy: 0.01      , Fz: 0.15      , Mx: -0.0071   ,My: -0.0141   ,Mz: 0.0092    ,
Counter: 84.0      , Fx: -0.05     ,Fy: 0.02      , Fz: 0.12      , Mx: 0.0141    ,My: 0.0565    ,Mz: 0.0647    ,
Counter: 85.0      , Fx: 0.03      ,Fy: 0.07      , Fz: 0.09      , Mx: 0.0       ,My: -0.0212   ,Mz: -0.0647   ,
Counter: 86.0      , Fx: 0.01      ,Fy: 0.0       , Fz: 0.05      , Mx: 0.0       ,My: 0.0141    ,Mz: -0.0092   ,
Counter: 87.0      , Fx: -0.02     ,Fy: -0.08     , Fz: -0.01     , Mx: 0.0071    ,My: -0.0353   ,Mz: 0.0185    ,
Counter: 88.0      , Fx: 0.0       ,Fy: 0.04      , Fz: -0.07     , Mx: -0.0212   ,My: -0.0212   ,Mz: 0.0       ,
Counter: 89.0      , Fx: 0.03      ,Fy: -0.01     , Fz: 0.26      , Mx: -0.0071   ,My: 0.0       ,Mz: -0.0185   ,
